Product_Name,Price,Shipping Type,Discount
PlayStation 5 Digital Console– God of War™ Ragnarök Bundle,$669.94,Free Shipping,NaN
PlayStation PS5 Console,$679.99,Free Shipping,NaN
PS5 Bundle - Includes PS5 Console and an Additional DualSense 5 Controller,$748.94,Free Shipping,NaN
SONY PLAYSTATION 5 DIGITAL EDITION CONSOLE,$645.89,Free Shipping,6%
PlayStation 5 Console - Horizon Forbidden West Bundle,$709.98,Free Shipping,NaN
PlayStation 5 Digital Console,$648.10,Free Shipping,NaN
PS5 Bundle - Includes PlayStation 5 Console and an Additional Cosmic Red DualSense Controller,$739.90,Free Shipping,NaN
PlayStation 5 Disc Bundle + DualSense Wireless Controller + SpiderMan: Miles Morales,$804.95,Free Shipping,5%
PlayStation 5 Disc Edition Horizon Forbidden West Bundle with Ozeal charging station,$725.00,Free Shipping,NaN
"SONY Playstation 5 Digital Gaming Console Horizon Forbidden West Bundle, Cefesfy Accessories",$709.99,Free Shipping,NaN
"PS5 Bundle: Includes PlayStation 5 Digital Console, Additional Cosmic Red DualSense Controller and PS5 Media Remote",$748.95,Free Shipping,NaN
"SONY Playstation 5 Disc Gaming Console Horizon Forbidden West Bundle, JAWFOAL Accessories",$766.99,Free Shipping,NaN
PlayStation 5 Digital Edition  Horizon Forbidden West Bundle with Ozeal charging station,$712.99,Free Shipping,NaN
Sony PlayStation 5 PS5 Console Disc Blu-Ray Version,$699.00,Special Shipping,NaN
Sony PlayStation 5 PS5 Console Digital,$643.80,Free Shipping,5%
PlayStation 5 Console,$700.90,Free Shipping,NaN
PS5 Core with Extra Blue Dualsense Controller and Accessories Kit,$829.99,Free Shipping,NaN
PlayStation 5 Console Disc Version With Extra DualSense Wireless Controller,$759.95,Free Shipping,5%
"YPINGK PS5 Vertical Stand with Cooling Fan and Dual Controller Charger - Indicator Lamps and 15 Game Slots, Fast Cooling through Metal Base, PS5 Console Compatible",$49.99 ,$4.08 Shipping,NaN
"PlayStation 5 Disc Console  God of War Ragnarok Bundle with Extra Controller, Cefesfy",$787.00,Free Shipping,NaN
PS5 Core with Extra Red DualSense Controller and Accessories Kit,$829.99,Free Shipping,NaN
"Sony PlayStation 5 Digital Edition Console, JAWFOAL HDMI Cable",$649.98,Free Shipping,NaN
PlayStation 5 Disc Edition Horizon Forbidden West Bundle with Two DualSense Controllers and Mytrix Dual Controller Charger,$819.99,Free Shipping,NaN
PS5 Core with Extra Purple Dualsense Controller and Accessories Kit,$829.99,Free Shipping,NaN
"PS5 Bundle- Includes PlayStation 5 Digital Console, Additional DualSense Controller, PlayStation Media Remote, and DualSense Charging station",$839.95,Free Shipping,NaN
Playstation 5 Digital Console with additional DualSense Controller,$659.99,Free Shipping,NaN
"PS5 Bundle - Includes Playstation 5 Digital Console, Additional DualSense Controller and HD Camera for PS5",$784.95,Free Shipping,NaN
PS5 Bundle: PS5 Disc Console+DualSense Wireless Controller + Watch Dogs: Legion and SpiderMan: Miles Morales+Ozeal charging station for PS5,$889.00,Free Shipping,NaN
SONY,$770.00,Free Shipping,NaN
PlayStation 5 Disc Console and PlayStation 5 - DualSense Wireless Controller - Midnight Black,$759.94,Free Shipping,NaN
Sony PlayStation 5 Disc Edition Horizon Forbidden West Bundle with Extra Controller and Charging Dock - Starlight Blue,$869.00,Free Shipping,NaN
"Playstation Console and Playstation VR Bundle - PS5 Disc Version with Wireless Controller, PSVR Headset, Camera, Move Motion Controller, Iron Man Game & Accessories","$1,072.",Free Shipping,NaN
PlayStation 5 Digital Edition with Two DualSense Controllers and Mytrix Dual Controller Charger,$729.99,Free Shipping,NaN
"Gaming Console Bundle - Includes PlayStation 5 Digital Console and 1TB SSD Black Xbox Console Version X, JAWFOAL HDMI Cable","$1,399.",Free Shipping,NaN
"PS5 Deluxe bundle: PS5 Disc Version + Wireless Controller+Five Games (Marvel's Spider-Man: Miles Morales, Cyberpunk 2077, Hitman 3, Demon's Soul and Assassin’s Creed Valhalla) +Ozeal Charging Station","$1,199.",Free Shipping,NaN
"Playstation Console and Playstation VR Bundle - PS5 Digital  Version with Wireless Controller, PSVR Headset, Camera, Move Motion Controller, Iron Man Game & Accessories",$983.14,Free Shipping,NaN
